comment,category
birchbox founders reveal the best and worst business advice they've ever received,0
bette midler ruptures,1
stephen colbert trolls donald trump jr. with murky 'russia week' intro,0
fatal spaz attack claims life of area spaz,1
accused father and son urinal thieves flushed out by cops,0
photos from 'ahs' set may help explain all those creepy blond children,0
trump's nativist attacks on immigrants weaken our country,0
trump calls failed bid to repeal obamacare 'pretty impressive',0
ashton kutcher and james corden give dads the anthem they deserve,0
eric holder announces least controversial decision of tenure,1
"this girl dressed up as michelle obama for school, and michelle loved it",0
cond̩ nast agrees to $5.8 million settlement in intern lawsuit,0
these bros wore boob weights in solidarity with well-endowed women,0
these cities are suing the pentagon over 'deadly gaps' in america's gun-check system,0
hope in students' eyes too much for screenwriting teacher to handle this week,1
breitbart criticized for publishing humanizing profile of libtard beta-cuck,1
report: many americans too willing to ask for help,1
"even if you're a famous actor, you can't touch jessica williams without her permission",0
study finds employees most productive when they can set their own salaries,1
redstate names leon wolf managing editor as erick erickson prepares exit,0
what do you know about the colors of nature?,0
poll finds 23% of americans would vote for jeb bush if candidate standing right next to them in voting booth,1
"hillary clinton, bernie sanders gloss over context, disagree on details in democratic debate",0
darren wilson ain't no ham sandwich: prosecutorial manipulation of a flawed grand jury system,0
margarita murillo: another victim of neoliberalism in honduras?,0
seniors decked out in graduation gear walk halls to inspire younger students,0
jack lalanne pops back up after cool down,1
"north korean military developing parade capable of traveling 5,000 miles",1
drug-related killings surge in the philippines after duterte's election,0
chicago out of names for subdivisions,1
oscar pistorius swears bloody cricket bat from different murder,1
ice cream man hopes scott joplin is in hell,1
the inside story of how congress sent the stock market tumbling,0
michelle wolf speaks out on white house correspondents' dinner controversy,0
vatican quickly performs damage control on pope's tolerant remarks,1
pizza hut's new 'skinny slice' isn't quite a dream come true,0
fiercest fighting in days between kurds and isis in kobani,0
sanders says clinton's platform could determine how much he would campaign for her,0
u.s. postal service appoints first leather-clad postmistress general,1
camila cabello's cover of 'say you won't let go' is raw power,0
the world bank accidentally left me a voicemail discussing their strategy to downplay rights abuses,0
revolutionary new homophobia immersion therapy involves lowering patient into tank of gays,1
entire treasury department competing for same goldman sachs job opening,1
tiny changes {today's buddha doodle},0
democrats should focus scotus fight on gorsuch's backing of big donors,0
"the great fracturer, exceptional smasher, and indispensable fragmenter",0
cara delevingne gets a laugh out of pushing paparazzo in paris,0
u.s.-trained syria rebels hand over equipment to al qaeda affiliate,0
how a tv-free summer is changing our family,0
mall debuts pet patrols to save dogs trapped in hot cars,0
"puppy comforts dog having a nightmare, because that's what friends are for",0
wendy davis just won: supreme court vindicates her epic filibuster,0
"these quotes from kids are hilarious, adorable and oddly insightful",0
alabama quietly strikes bo bice day from state calendar,1
john kelly roots out remaining priebus sympathizers hiding in tunnels throughout white house,1
"with thousands of syrians trapped in raqqa, a single hospital remains",0
report: 40 percent of american high-school students mind-reading at sixth-grade level,1
nobel prize in chemistry awarded to taft middle school teacher mr. ambler,1
hydraulic press crushes every ounce of cheer out of the holidays,0
'it's the heart of mississippi': meet the people of oxford,0
the one coworker every employee needs,0
suspension of disbelief goes unrewarded,1
white couple admires fall colors,1
stressed-out sean hannity buys 12 little cabins in maine to get away from it all,1
"wealthy, famous individual described as 'totally down-to-earth' by thousands of acquaintances, all of whom are lying",1
professor threatened with firing says wheaton college is changing the rules,0
"a woman as indiana jones? yes, please.",0
it's time to fix the climate -- why do we delay?,0
syria's bashar assad tops off another year of bloodshed with a holiday photoshoot,0
julia stiles marries preston j. cook in intimate seattle beach wedding,0
a painter searches for a more interconnected vision of humanity,0
'what's our best path to 270?' gary johnson asks campaign aides packing up office,1
hillary clinton wows russians with poignant chekhovian monologue,1
roommate never seems to leave apartment,1
name of gay bar should have been clearer,1
congress repairs to parlor to hear rep. carolyn maloney play the recorder,1
elizabeth warren: donald trump's presidency 'feels like dog years',0
secret service rooftop sniper team depressed by sprawling view of cleveland,1
stressed-out cvs back to selling cigarettes after only 3 months,1
from bicycles to spaceships (video),0
"bj̦rk retrospective at moma, new york (video)",0
coworkers unable to put finger on what's weird about gary,1
nation surprised to realize it wants more john travolta,1
disgusting couple always interacting in public,1
geithner refuses to come down off capitol dome,1
irs announces refunds will come in form of forever stamps this year,1
stack of unused cd-rs turns five,1
"fearmongers, warmongers gather for annual mongering conference",1
bob dole picked off by large hawk circling arena parking lot,1
container of recyclables emptied into trash,1
donald trump conveniently forgets the time he said more countries should have nukes,0
italian grandmother doesn't have heart to tell family any dipshit can make lasagna,1
wkzn-tv concludes broadcast day,1
courageous man overcomes woman's body language to continue hitting on her,1
my experience of coming out in kentucky...,0
white house celebrates fifth straight year without oral sex,1
"space, race and the space race",0
will all senate republicans kowtow to trump and the far right?,0
dwight howard responds to lebron james' full-court shot with one of his own,0
"this great song, bar sources report",1
"hands-free tech like siri can be dangerous for drivers, study says",0
kfc introduces new previously owned 20-piece hot wings,1
"in less than a year, trump has stripped back workers' ability to unionize",0
ethical hunter throws duck he shot back into sky,1
microwave-resistant potato alarms scientists,1
sexualized octogenarian flapper girl still earning living for someone,1
how can you tell if a dog rescue group is legit?,0
area man pretty loud at guitar,1
conversations with god about bush,0
this time ben carson didn't say he'd violate muslims' civil rights,0
the nra museum showcases guns from the same hollywood it says is 'glorifying' violence,0
open-minded voter waits almost 5 minutes into debate to decide who won,1
fareed zakaria and u2 for president,0
network programming dominated by surreality tv,1
aurora releases theater shooting response report,0
"the drama desks, all the way, m&m's and more",0
military apologizes after drone strike intended for yemeni isis base accidentally hits west palm beach wedding,1
environmental study finds air in chicago now 75% bullets,1
londoners 2 percent less polite about terrorism following bombings,1
"one down, 999 still to go: building a better approach to business",0
