comment,category
"Por el amor de Dios, muchacho, puedo escucharte ahora.",No sarcástico
Cuando nos pidió que viniéramos a rescatarte,No sarcástico
¿Mi?,No sarcástico
¿Tienes el album?,No sarcástico
"Papá, no deberías gastar el dinero de tu jubilación en frivolidades. Deberías ahorrarlo para cuando mueras y ese dinero sea nuestro.",No sarcástico
"No, amigo, es genial.",Sarcástico
¡Está en la caja fuerte!,No sarcástico
¿Ya lo hemos cerrado?,No sarcástico
"Gracias doctor, muchas gracias usted mató al paciente",Sarcástico
"No sé qué le pasó, de todos modos, vinimos a buscar algunas cosas de la niña. Así que vamos a buscarlas. ¿Hombre?",No sarcástico
Y ni hablar de robótica. ¿De dónde diablos sacaste una mano biónica?,No sarcástico
"¿Sabes cómo eres? Si hay alguien aquí, seré yo.",Sarcástico
Cállate los dos. ¿Por qué la advertencia a los marineros? Esto es un bebé.,Sarcástico
¿Pero qué te pasa?,No sarcástico
"En serio USUARIO, creo que este deporte le hizo algún daño al cerebro.",No sarcástico
No,No sarcástico
"Su identificación, coronel, por favor.",No sarcástico
¿Disculpe?,No sarcástico
¿Qué información? @USER dijo que te sacará,Sarcástico
¿Qué?,No sarcástico
"No, no, me refiero a las armas de fuego, por ejemplo. ¿Están guardadas adecuadamente?",No sarcástico
Si algo nos pasa a los dos ¿quién cuidará de la niña?,Sarcástico
USUARIO en quien estaba pensando,No sarcástico
"Mali tiene el globo. Está diciendo cosas muy bonitas sobre el otro equipo. Malin se encuentra con G Woodly. Le entrega el globo a Woodly. El árbitro se acerca. El árbitro decide que es una anotación. Esperen, ahora se acerca otro árbitro y señala que es un punto en contra.",No sarcástico
Arquear este plan,No sarcástico
Puedo pensar en algunos más,No sarcástico
"Ah, sí, porque tengo mucho tiempo para eso, USUARIO. De hecho, ¿por qué no preparas una cena de cuatro platos para todos, o mejor dicho, una cena de siete platos?",Sarcástico
"Vamos a hacerlo. Stan, abróchame el sujetador.",No sarcástico
"No puedo, no tengo la información",No sarcástico
No sé qué puedo hacer. Los niños empiezan a burlarse de mí porque no soy buena con el sarcasmo. Soy mala para ser amable. Soy tan mala que parezco una chica gorda en bikini floreciendo en la playa.,No sarcástico
"No, no disparen. Ahí está el bebé.",No sarcástico
¿En serio? ¿Crees que existe una relación real entre el sarcasmo y el sarcasmobol? ¡Qué fascinante! ¡Continúa!,Sarcástico
¿Pizarrero?,No sarcástico
La madre que te dio a luz,No sarcástico
"Mmm, pero ella es bonita, más regordeta de lo que recordaba.",No sarcástico
Espero no tener que llegar a ese punto.,No sarcástico
Iba a decir excesivo,No sarcástico
"Sí, pero",No sarcástico
"Dios mío, es tan bueno que por un momento lo tragué.",No sarcástico
¿Practicar un lunes después de una victoria? ¡Genial!,Sarcástico
Esto no se ve todos los días,No sarcástico
"Ah, vale. Está bien, Butters. Recuerda lo que hablamos. A veces, nuestro cremoso relleno de felicidad crece de la noche a la mañana y se desborda.",No sarcástico
¡Por amor a Dios!,No sarcástico
"Estoy en el negocio de reventa, pero no puedo conseguir suficientes joyas de la gente, así que quiero comprar las suyas.",No sarcástico
"Gente, escuchen todos. Hay algo que deben saber sobre el sarcasmoball: es un juego totalmente seguro, sí, súper seguro, es tan seguro que todos los niños del país deberían jugarlo.",Sarcástico
Sí,No sarcástico
"Esta aquí, a veces se desborda",No sarcástico
"Espera, espera, vaya. ¿Qué carajo es eso?",No sarcástico
Eso fue lo que pensé si se lo explicaba a quien me lo preguntaba.,No sarcástico
Bueno,No sarcástico
Francamente no.,No sarcástico
"Sí, ¡soy fan de todos tus temas de tendencia!",Sarcástico
Bueno,No sarcástico
Hmm... Voy a decir: ¡No! ¡Venganza!,No sarcástico
¿De qué estás hablando?,No sarcástico
"Abuelo, ¿cuánto gastaste en eso?",No sarcástico
"Bueno, no me estoy metiendo con ella y ella lo sabe.",No sarcástico
Y hablando de eso… me cagué la leche,No sarcástico
"Bueno, yo, como es lógico.",No sarcástico
Esto no es robado ¿verdad?,No sarcástico
"Oh, mira lo que eres. Hora de la siesta, tengo una reunión, adiós.",No sarcástico
"No gracias, no debería",No sarcástico
"USUARIO, supongo que se trataba de una analogía deportiva para desprestigiarnos, pero aceptamos la misión. ¿Verdad, Sterling?",No sarcástico
¿Y qué significa?,No sarcástico
Bueno si no vamos a jugar al póquer.,No sarcástico
